Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors
1922-1923_00068-20220207_141827.jpg,1922-1923,Fidelio,19/11/1922,,False,471474,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00070-20220207_141842.jpg,1922-1923,De Juweelen der Madonna,21/11/1922,,False,335188,De Juweelen der Madonna,ITA,Ermanno Wolf-Ferrari,1911,I gioielli della Madonna,verismo,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00074-20220207_141912.jpg,1922-1923,Fidelio,23/11/1922,,False,418657,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00076-20220207_141928.jpg,1922-1923,Quinten-Massys,25/11/1922,,False,289289,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00078-20220207_142018.jpg,1922-1923,Het Driemeisjeshuis,26/11/1922,,False,968741,Driemeisjeshuis,DUI,Heinrich Bert√©,1916,Das Dreim√§derlhaus,leichte oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00080-20220207_142029.jpg,1922-1923,Laagland,28/11/1922,,False,249700,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00082-20220207_142041.jpg,1922-1923,De Juweelen der Madonna,30/11/1922,,False,601866,De Juweelen der Madonna,ITA,Ermanno Wolf-Ferrari,1911,I gioielli della Madonna,verismo,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00084-20220207_142054.jpg,1922-1923,Het Driemeisjeshuis,02/12/1922,,False,626777,Driemeisjeshuis,DUI,Heinrich Bert√©,1916,Das Dreim√§derlhaus,leichte oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00086-20220207_142110.jpg,1922-1923,Quinten Massijs,03/12/1922,,False,581626,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00088-20220207_142125.jpg,1922-1923,De Juweelen der Madonna,03/12/1922,,False,636905,De Juweelen der Madonna,ITA,Ermanno Wolf-Ferrari,1911,I gioielli della Madonna,verismo,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00090-20220207_142142.jpg,1922-1923,Tannhauser,05/12/1922,gala,False,109354,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00092-20220207_142156.jpg,1922-1923,De Verkochte Bruid,07/12/1922,,False,168840,De Verkochte Bruid,TSJ,"Bed≈ôich	Smetana",1866,The Bartered Bride,czech national opera,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00094-20220207_142208.jpg,1922-1923,Christ'l,09/12/1922,,False,437395,Christ'l,?,Georg Jarno,1907,Die F√∂rsterchristl,leichte oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00096-20220207_142222.jpg,1922-1923,Laagland,10/12/1922,,False,730883,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00098-20220207_142233.jpg,1922-1923,Quinten Massys,10/12/1922,,False,230810,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00100-20220207_142251.jpg,1922-1923,Tannhauser,12/12/1922,gala,False,778649,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00102-20220207_142306.jpg,1922-1923,Christ'l,14/12/1922,,False,766770,Christ'l,?,Georg Jarno,1907,Die F√∂rsterchristl,leichte oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00104-20220207_142317.jpg,1922-1923,Fidelio,16/12/1922,,False,804770,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00106-20220207_142328.jpg,1922-1923,Driemeisjeshuis,17/12/1922,,False,937014,Driemeisjeshuis,DUI,Heinrich Bert√©,1916,Das Dreim√§derlhaus,leichte oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00108-20220207_142338.jpg,1922-1923,Tannhauser,17/12/1922,,False,724677,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00110-20220207_142349.jpg,1922-1923,De Walkure,19/12/1922,,False,696866,De Walkure,DUI,Richard Wagner,1874,Die Walk¸re,gesamtkunstwerk,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00112-20220207_142400.jpg,1922-1923,Driemeisjeshuis,21/12/1922,,False,704380,Driemeisjeshuis,DUI,Heinrich Bert√©,1916,Das Dreim√§derlhaus,leichte oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00114-20220207_142414.jpg,1922-1923,Die Walkure,23/12/1922,,False,246370,De Walkure,DUI,Richard Wagner,1874,Die Walk¸re,gesamtkunstwerk,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00116-20220207_142425.jpg,1922-1923,Christ'l,24/12/1922,,False,311700,Christ'l,?,Georg Jarno,1907,Die F√∂rsterchristl,leichte oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00118-20220207_142437.jpg,1922-1923,Tannhauser,25/12/1922,,False,258451,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00120-20220207_142447.jpg,1922-1923,Quinten Massijs,26/12/1922,,False,578620,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00122-20220207_142501.jpg,1922-1923,De Walkure,28/12/1922,,False,842694,De Walkure,DUI,Richard Wagner,1874,Die Walk¸re,gesamtkunstwerk,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00124-20220207_142512.jpg,1922-1923,De Bruid der Zee,30/12/1922,,False,592587,De Bruid der Zee,NL,Jan Blockx,1901,De Bruid der Zee,zangspel,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00126-20220207_142523.jpg,1922-1923,Driemeisjeshuis,31/12/1922,,False,774985,Driemeisjeshuis,DUI,Heinrich Bert√©,1916,Das Dreim√§derlhaus,leichte oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00128-20220207_142534.jpg,1922-1923,Christ'l,01/01/1923,,False,423813,Christ'l,?,Georg Jarno,1907,Die F√∂rsterchristl,leichte oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00130-20220207_142545.jpg,1922-1923,De Doode Stad,06/01/1923,Eerste opvoering in Belgi√´,False,660521,De Doode Stad,DUI,Erich Wolfgang Korngolf,1920,Die tote Stadt,?,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00134-20220207_142607.jpg,1922-1923,De Bruid der Zee,07/01/1922,,False,104554,De Bruid der Zee,NL,Jan Blockx,1901,De Bruid der Zee,zangspel,1921-1922,Flor Alpaerts & Arthur Steurbout
1922-1923_00138-20220207_142630.jpg,1922-1923,Hoffmann's Vertellingenen,13/01/1923,,False,736511,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,op√©ra fantastique,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00140-20220207_142643.jpg,1922-1923,De Walkure,14/01/1923,,False,631911,De Walkure,DUI,Richard Wagner,1874,Die Walk¸re,gesamtkunstwerk,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00142-20220207_142653.jpg,1922-1923,De Doode Stad,16/01/1923,,False,988503,De Doode Stad,DUI,Erich Wolfgang Korngolf,1920,Die tote Stadt,?,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00144-20220207_142705.jpg,1922-1923,Christ'l,18/01/1923,,False,556895,Christ'l,?,Georg Jarno,1907,Die F√∂rsterchristl,leichte oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00146-20220207_142715.jpg,1922-1923,De Walkure,20/01/1923,,False,540849,De Walkure,DUI,Richard Wagner,1874,Die Walk¸re,gesamtkunstwerk,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00148-20220207_142731.jpg,1922-1923,Quinten-Massijs,21/02/1923,,False,479496,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00150-20220207_142746.jpg,1922-1923,Hoffmann's Vertellingenen,21/01/1923,,False,447793,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,op√©ra fantastique,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00152-20220207_142800.jpg,1922-1923,Herbergprinses,23/01/1923,50 jarig Toneeljubileum,False,733505,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00156-20220207_142821.jpg,1922-1923,Tannhauser,25/01/1923,,False,416063,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00158-20220207_142830.jpg,1922-1923,Christ'l,27/01/1923,,False,939699,Christ'l,?,Georg Jarno,1907,Die F√∂rsterchristl,leichte oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00160-20220207_142844.jpg,1922-1923,De Doode Stad,28/01/1923,,False,450580,De Doode Stad,DUI,Erich Wolfgang Korngolf,1920,Die tote Stadt,?,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00162-20220207_142858.jpg,1922-1923,De Verkochte Bruid,30/01/1923,Vertooning der Kathpmieke kring van Antwerpen,False,933087,De Verkochte Bruid,TSJ,"Bed≈ôich	Smetana",1866,The Bartered Bride,czech national opera,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00166-20220207_142923.jpg,1922-1923,Herbergprinses,01/02/1923,,False,343075,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00168-20220207_142935.jpg,1922-1923,Carmen,03/02/1923,,False,304628,Carmen,FR,Georges Bizet,1875,Carmen,op√©ra comique,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00170-20220207_142948.jpg,1922-1923,De Verkochte Bruid,04/02/1923,,False,869561,De Verkochte Bruid,TSJ,"Bed≈ôich	Smetana",1866,The Bartered Bride,czech national opera,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00172-20220207_143019.jpg,1922-1923,Carmen,08/02/1923,,False,692397,Carmen,FR,Georges Bizet,1875,Carmen,op√©ra comique,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00174-20220207_143031.jpg,1922-1923,Hoffmann's Vertellingenen,10/02/1923,,False,532219,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,op√©ra fantastique,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00176-20220207_143112.jpg,1922-1923,Driemeisjeshuis,11/02/1923,,False,145210,Driemeisjeshuis,DUI,Heinrich Bert√©,1916,Das Dreim√§derlhaus,leichte oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00178-20220207_143122.jpg,1922-1923,Carmen,11/02/1923,,False,596017,Carmen,FR,Georges Bizet,1875,Carmen,op√©ra comique,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00180-20220207_143133.jpg,1922-1923,De Bruid der Zee,12/02/1923,,False,293375,De Bruid der Zee,NL,Jan Blockx,1901,De Bruid der Zee,zangspel,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00182-20220207_143147.jpg,1922-1923,Christ'l,12/02/1923,,False,649427,Christ'l,?,Georg Jarno,1907,Die F√∂rsterchristl,leichte oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00184-20220207_143201.jpg,1922-1923,Herbergprinses,13/02/1923,,False,532340,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00186-20220207_143213.jpg,1922-1923,Fidelio,15/02/1923,,False,523437,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00188-20220207_143225.jpg,1922-1923,De Doode Stad,17/02/1923,,False,233894,De Doode Stad,DUI,Erich Wolfgang Korngolf,1920,Die tote Stadt,?,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00190-20220207_143234.jpg,1922-1923,Herbergprinses,18/02/1923,,False,411553,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00192-20220207_143246.jpg,1922-1923,Hoffmann's Vertellingenen,18/02/1923,,False,352115,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,op√©ra fantastique,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00194-20220207_143256.jpg,1922-1923,Carmen,25/02/1923,,False,834236,Carmen,FR,Georges Bizet,1875,Carmen,op√©ra comique,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00196-20220207_143308.jpg,1922-1923,Carmen,22/02/1923,,False,750283,Carmen,FR,Georges Bizet,1875,Carmen,op√©ra comique,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00198-20220207_143322.jpg,1922-1923,Hannerl,24/02/1923,Eerste opvoering in Belgi√´,False,560260,Hannerl,DUI,Franz Schubert,?,Hannerl,zangspel,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00200-20220207_143335.jpg,1922-1923,Hannerl,25/02/1923,,False,675976,Hannerl,DUI,Franz Schubert,?,Hannerl,zangspel,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00202-20220207_143347.jpg,1922-1923,De Doode Stad,01/03/1923,,False,718328,De Doode Stad,DUI,Erich Wolfgang Korngolf,1920,Die tote Stadt,?,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00204-20220207_143402.jpg,1922-1923,Rijngoud,03/03/1923,,False,405087,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00206-20220207_143412.jpg,1922-1923,Hannerl,04/03/1923,,False,425126,Hannerl,DUI,Franz Schubert,?,Hannerl,zangspel,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00208-20220207_143422.jpg,1922-1923,Carmen,04/03/1923,,False,761759,Carmen,FR,Georges Bizet,1875,Carmen,op√©ra comique,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00210-20220207_143434.jpg,1922-1923,Herbergprinses,06/03/1923,Gala ten voordele van der onderstandskas,False,667851,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00218-20220207_143559.jpg,1922-1923,Rijngoud,08/03/1923,,False,550821,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00220-20220207_143618.jpg,1922-1923,De Vliegende Hollander,10/03/1923,,False,825029,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00222-20220207_143631.jpg,1922-1923,De Doode Stad,11/03/1923,,False,826736,De Doode Stad,DUI,Erich Wolfgang Korngolf,1920,Die tote Stadt,?,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00224-20220207_143645.jpg,1922-1923,Rijngoud,11/03/1923,,False,770419,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00226-20220207_143656.jpg,1922-1923,Christ'l,13/03/1923,gala,False,417125,Christ'l,?,Georg Jarno,1907,Die F√∂rsterchristl,leichte oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00230-20220207_143717.jpg,1922-1923,Hannerl,15/03/1923,,False,449539,Hannerl,DUI,Franz Schubert,?,Hannerl,zangspel,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00232-20220207_143733.jpg,1922-1923,Rijngoud,17/03/1923,,False,954101,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00234-20220207_143744.jpg,1922-1923,Herbergprinses,18/03/1923,,False,519380,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00236-20220207_143759.jpg,1922-1923,De Vliegende Hollander,22/03/1923,,False,667290,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00238-20220207_143810.jpg,1922-1923,Herbergprinses,24/03/1923,,False,549364,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00240-20220207_143823.jpg,1922-1923,Rijngoud,25/03/1923,,False,767912,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00242-20220207_143835.jpg,1922-1923,Carmen,25/03/1923,,False,890110,Carmen,FR,Georges Bizet,1875,Carmen,op√©ra comique,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00244-20220207_143848.jpg,1922-1923,Christ'l,29/03/1923,,False,199227,Christ'l,?,Georg Jarno,1907,Die F√∂rsterchristl,leichte oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00246-20220207_143902.jpg,1922-1923,Het Hofconcert,31/03/1923,Eerste opvoering in Belgi√´,False,160383,Het Hofconcert,DUI,Paul Scheinpflug,?,Hofconcert,concert,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00248-20220207_143916.jpg,1922-1923,Carmen,01/04/1923,,False,391413,Carmen,FR,Georges Bizet,1875,Carmen,op√©ra comique,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00250-20220207_143930.jpg,1922-1923,De Vliegende Hollander,01/04/1923,,False,188436,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00252-20220207_143940.jpg,1922-1923,Het Hofconcert,02/04/1923,,False,891028,Het Hofconcert,DUI,Paul Scheinpflug,?,Hofconcert,concert,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00254-20220207_143954.jpg,1922-1923,Het Hofconcert,05/04/1923,,False,416022,Het Hofconcert,DUI,Paul Scheinpflug,?,Hofconcert,concert,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00256-20220207_144005.jpg,1922-1923,De Vliegende Hollander,07/04/1923,,False,394786,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00258-20220207_144019.jpg,1922-1923,De Vliegende Hollander,08/04/1923,,False,162146,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00260-20220207_144031.jpg,1922-1923,Het Hofconcert,08/04/1923,,False,840761,Het Hofconcert,DUI,Paul Scheinpflug,?,Hofconcert,concert,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00262-20220207_144043.jpg,1922-1923,Rijngoud,10/04/1923,Kunstavond,False,225693,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00266-20220207_144109.jpg,1922-1923,Hoffmann's Vertellingenen,12/04/1923,,False,648046,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,op√©ra fantastique,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00268-20220207_144122.jpg,1922-1923,De Vledermuis,14/04/1923,,False,544449,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00270-20220207_144134.jpg,1922-1923,De Vledermuis,15/04/1923,,False,961049,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00272-20220207_144145.jpg,1922-1923,De Vledermuis,19/04/1923,,False,393060,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00274-20220207_144159.jpg,1922-1923,Carmen,21/04/1923,,False,562520,Carmen,FR,Georges Bizet,1875,Carmen,op√©ra comique,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00276-20220207_144214.jpg,1922-1923,De Vledermuis,22/04/1923,,False,544411,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00278-20220207_144225.jpg,1922-1923,Herbergprinses,22/04/1923,,False,567966,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00280-20220207_144237.jpg,1922-1923,De Vledermuis,26/04/1923,,False,347236,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00282-20220207_144249.jpg,1922-1923,De Vledermuis,28/04/1923,,False,953269,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00284-20220207_144300.jpg,1922-1923,Hoffmann's Vertellingenen,29/04/1924,,False,955308,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,op√©ra fantastique,1923-1924,Flor Alpaerts & Arthur Steurbout
1922-1923_00286-20220207_144312.jpg,1922-1923,De Walkure,29/04/1923,,False,891061,De Walkure,DUI,Richard Wagner,1874,Die Walk¸re,gesamtkunstwerk,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00288-20220207_144324.jpg,1922-1923,De Vledermuis,03/05/1923,,False,235696,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00290-20220207_144340.jpg,1922-1923,Tannhauser,05/05/1923,,False,989237,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00292-20220207_144353.jpg,1922-1923,De Vledermuis,06/05/1923,,False,586111,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00294-20220207_144403.jpg,1922-1923,Tannhauser,10/05/1923,,False,429174,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00296-20220207_144413.jpg,1922-1923,De Walkure,12/05/1923,,False,382021,De Walkure,DUI,Richard Wagner,1874,Die Walk¸re,gesamtkunstwerk,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00298-20220207_144424.jpg,1922-1923,Tannhauser,13/05/1923,,False,326402,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1922-1923,Flor Alpaerts & Arthur Steurbout
1922-1923_00300-20220207_144436.jpg,1922-1923,De Vledermuis,17/05/1923,afscheidsvertoning,False,683158,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1922-1923,Flor Alpaerts & Arthur Steurbout
1923-1924_00005-20220207_150958.jpg,1923-1924,Siegfried,22/04/1923,,False,338062,Siegfried,DUI,Richard Wagner,1871,Siegfried,gesamtkunstwerk,1922-1923,Flor Alpaerts & Arthur Steurbout
1923-1924_00009-20220207_151024.jpg,1923-1924,Lohengrin,26/11/1923,,False,323549,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1923-1924,Flor Alpaerts & Arthur Steurbout
1923-1924_00011-20220207_151036.jpg,1923-1924,Othello,08/01/1924,gala,False,899045,Othello,TSJ,Anton√≠n Dvo≈ô‡k,1891,Othello,opera seria,1923-1924,Flor Alpaerts & Arthur Steurbout
1923-1924_00015-20220207_151100.jpg,1923-1924,Lohengrin,13/11/1923,gala ten bate der geteisterden van Japan,False,756714,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1923-1924,Flor Alpaerts & Arthur Steurbout
1923-1924_00021-20220207_151137.jpg,1923-1924,Tannhauser,05/02/1924,gala,False,219972,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1923-1924,Flor Alpaerts & Arthur Steurbout
1923-1924_00025-20220207_151208.jpg,1923-1924,Tannhauser,01/01/2100,,False,741623,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,2099-2100,Flor Alpaerts & Arthur Steurbout
1923-1924_00027-20220207_151227.jpg,1923-1924,De Nieuwsgierige Vrouwen,01/01/2100,,False,279126,De Nieuwsgierige Vrouwen,ITA,Ermanno Wolf-Ferrari,1903,Le donne curiose,opera buffa,2099-2100,Flor Alpaerts & Arthur Steurbout
1923-1924_00029-20220207_151238.jpg,1923-1924,Driemeisjeshuis,18/03/1924,gala,False,552967,Driemeisjeshuis,DUI,Heinrich Bert√©,1916,Das Dreim√§derlhaus,leichte oper,1923-1924,Flor Alpaerts & Arthur Steurbout
1923-1924_00039-20220207_151335.jpg,1923-1924,Othello,01/01/2100,,False,425268,Othello,TSJ,Anton√≠n Dvo≈ô‡k,1891,Othello,opera seria,2099-2100,Flor Alpaerts & Arthur Steurbout
1923-1924_00041-20220207_151402.jpg,1923-1924,De Gouden Haan,01/05/1924,ter gelegenheid van het 1e wederlandsch kongres van joodsche studenten,False,152671,De Gouden Haan,RUS,Nikolay Rimsky-Korsakov,1909,The Golden Cockerel,?,1923-1924,Flor Alpaerts & Arthur Steurbout
1923-1924_00045-20220207_151426.jpg,1923-1924,?,01/01/2100,Tekst in het Hebreeuws,False,635843,?,?,?,?,?,?,2099-2100,Flor Alpaerts & Arthur Steurbout
1923-1924_00051-20220207_151458.jpg,1923-1924,Penelope,01/04/1924,,False,305136,Penelope,FR,Gabriel Faur√©,1913,P√©n√©lope,trag√©die lyrique,1923-1924,Flor Alpaerts & Arthur Steurbout
1923-1924_00059-20220207_151541.jpg,1923-1924,Czaar en Timmerman,29/12/1923,,False,870622,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1923-1924,FÈ Derickx & Bernard Tokkie
1923-1924_00061-20220207_151551.jpg,1923-1924,Tannhauser,25/03/1924,Jubelavond,False,703104,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1923-1924,FÈ Derickx & Bernard Tokkie
