,Date,Original premiere,Directors,Normalised title,Composer,Multiple bill,Multiple bill,Season,Occasion,Language,Dutch,German
89,1895-01-26,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1894-1895,N,German,False,True
90,1895-01-29,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1894-1895,N,German,False,True
91,1895-02-02,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1894-1895,N,German,False,True
92,1895-02-05,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1894-1895,N,German,False,True
93,1895-02-09,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1894-1895,N,German,False,True
94,1895-02-12,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1894-1895,N,German,False,True
95,1895-02-16,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1894-1895,N,German,False,True
96,1895-02-19,?,Edward Keurvels & Henry Fontaine,Zriny,Albert De Vleeshouwer,False,False,1894-1895,N,Dutch,True,False
97,1895-02-26,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1894-1895,N,German,False,True
98,1895-03-02,?,Edward Keurvels & Henry Fontaine,Zriny,Albert De Vleeshouwer,False,False,1894-1895,N,Dutch,True,False
99,1895-03-05,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,True,True,1894-1895,N,German,False,True
100,1895-03-05,1823,Edward Keurvels & Henry Fontaine,Euryanthe,Carl Maria von Weber,True,True,1894-1895,N,German,False,True
101,1895-03-05,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,True,True,1894-1895,N,German,False,True
102,1895-03-12,?,Edward Keurvels & Henry Fontaine,Zriny,Albert De Vleeshouwer,False,False,1894-1895,N,Dutch,True,False
103,1895-03-16,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,False,1894-1895,N,German,False,True
104,1895-03-19,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1894-1895,N,German,False,True
105,1895-03-23,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,False,1894-1895,N,German,False,True
106,1895-03-30,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,False,1894-1895,N,German,False,True
107,1895-04-02,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,False,1894-1895,N,German,False,True
